Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
97;Gustavo Cabral;ar ARG;DF;Pachuca;37-201;1985;30;30;2685;29.8;2;1;3;1;1;1;6;0;1.6;0.8;0.3;1.1;8;92;3;0.07;0.03;0.10;0.03;0.07;0.05;0.01;0.06;0.03;0.04
98;David Cabrera Pujol;mx MEX;MF;Querétaro;33-238;1989;2;0;31;0.3;0;0;0;0;0;0;0;1;0.0;0.0;0.0;0.0;0;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
99;Sebastián Cáceres;uy URU;DF;América;23-258;1999;25;23;2078;23.1;1;1;2;1;0;0;4;0;0.8;0.8;0.3;1.1;11;48;2;0.04;0.04;0.09;0.04;0.09;0.03;0.01;0.05;0.03;0.05
100;Jordy Caicedo;ec ECU;FWMF;UANL;25-166;1997;13;4;520;5.8;1;0;1;1;0;0;1;1;1.5;1.5;0.4;1.9;10;8;33;0.17;0.00;0.17;0.17;0.17;0.26;0.07;0.34;0.26;0.34
101;José Caicedo;co COL;MFDF;UNAM;20-345;2002;14;11;1017;11.3;0;0;0;0;0;0;2;0;0.3;0.3;0.4;0.7;12;60;1;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06
102;Cristian Calderón;mx MEX;DFFW;Guadalajara;25-344;1997;29;21;1908;21.2;1;1;2;1;0;1;2;0;3.8;3.0;1.9;4.9;23;60;79;0.05;0.05;0.09;0.05;0.09;0.18;0.09;0.27;0.14;0.23
103;Luis Calzadilla;mx MEX;MF;Pachuca;23-109;2000;3;0;29;0.3;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;1;1;0.00;0.00;0.00;0.00;0.00;0.67;0.00;0.67;0.67;0.67
104;Raúl Camacho;mx MEX;FWMF;Mazatlán;21-045;2002;6;0;62;0.7;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;1;3;0.00;0.00;0.00;0.00;0.00;0.04;0.08;0.12;0.04;0.12
105;Joel Campbell;cr CRC;MFFW;León;30-311;1992;30;17;1559;17.3;2;4;6;2;0;0;1;1;2.3;2.3;2.8;5.2;54;111;114;0.12;0.23;0.35;0.12;0.35;0.13;0.16;0.30;0.13;0.30
106;Omar Campos;mx MEX;DF;Santos;20-287;2002;34;34;2936;32.6;1;2;3;1;0;0;2;0;1.0;1.0;3.7;4.7;78;94;127;0.03;0.06;0.09;0.03;0.09;0.03;0.11;0.14;0.03;0.14
107;Alexis Canelo;ar ARG;FW;Tijuana;31-089;1992;34;33;2877;32.0;6;2;8;4;2;2;5;0;8.9;7.3;4.1;11.4;89;99;259;0.19;0.06;0.25;0.13;0.19;0.28;0.13;0.40;0.23;0.36
